employee_id,name,salary,manager_id,department_id
1,Employee_1,55795,63,12
2,Employee_2,40860,754,5
3,Employee_3,143694,769,1
4,Employee_4,116820,663,15
5,Employee_5,94886,214,8
6,Employee_6,46265,833,1
7,Employee_7,122386,165,18
8,Employee_8,77194,542,13
9,Employee_9,127498,882,1
10,Employee_10,84131,231,5
11,Employee_11,100263,793,18
12,Employee_12,56023,540,16
13,Employee_13,81090,194,10
14,Employee_14,107221,505,4
15,Employee_15,104820,333,1
16,Employee_16,40769,767,8
17,Employee_17,99735,792,5
18,Employee_18,102955,303,2
19,Employee_19,104925,832,17
20,Employee_20,107969,436,7
21,Employee_21,45311,322,17
22,Employee_22,143355,501,6
23,Employee_23,144724,857,15
24,Employee_24,123104,913,5
25,Employee_25,93707,392,15
26,Employee_26,125305,805,18
27,Employee_27,68693,598,18
28,Employee_28,111932,148,6
29,Employee_29,133016,760,2
30,Employee_30,146970,832,17
31,Employee_31,65658,404,4
32,Employee_32,124478,282,12
33,Employee_33,58431,361,19
34,Employee_34,42747,378,2
35,Employee_35,99150,197,2
36,Employee_36,105725,555,14
37,Employee_37,124654,355,15
38,Employee_38,75773,539,20
39,Employee_39,107435,428,2
40,Employee_40,96886,16,4
41,Employee_41,106803,638,19
42,Employee_42,71551,378,9
43,Employee_43,51394,679,7
44,Employee_44,109092,505,13
45,Employee_45,43890,755,12
46,Employee_46,81606,898,3
47,Employee_47,136276,75,13
48,Employee_48,120038,230,15
49,Employee_49,127313,715,14
50,Employee_50,50627,961,9
51,Employee_51,48792,247,13
52,Employee_52,148859,301,4
53,Employee_53,148557,725,8
54,Employee_54,113969,214,3
55,Employee_55,83001,157,2
56,Employee_56,116552,68,19
57,Employee_57,63897,392,8
58,Employee_58,108148,84,17
59,Employee_59,63483,266,13
60,Employee_60,88555,68,7
61,Employee_61,57159,610,9
62,Employee_62,146530,346,12
63,Employee_63,120077,961,14
64,Employee_64,75920,727,14
65,Employee_65,132067,926,15
66,Employee_66,107121,672,3
67,Employee_67,109479,422,15
68,Employee_68,129475,605,19
69,Employee_69,59457,173,20
70,Employee_70,106557,676,14
71,Employee_71,117189,114,8
72,Employee_72,149109,219,5
73,Employee_73,118953,955,19
74,Employee_74,92995,30,4
75,Employee_75,80757,522,14
76,Employee_76,49692,342,16
77,Employee_77,85758,376,20
78,Employee_78,112409,129,6
79,Employee_79,111211,999,6
80,Employee_80,105697,616,3
81,Employee_81,77065,538,15
82,Employee_82,132093,738,3
83,Employee_83,139299,1,11
84,Employee_84,72606,870,3
85,Employee_85,51534,100,10
86,Employee_86,134663,532,18
87,Employee_87,80397,57,1
88,Employee_88,131387,388,16
89,Employee_89,41016,691,16
90,Employee_90,129789,940,10
91,Employee_91,95591,340,1
92,Employee_92,129812,860,4
93,Employee_93,63247,19,3
94,Employee_94,64300,254,5
95,Employee_95,114065,316,12
96,Employee_96,122798,37,12
97,Employee_97,49268,659,13
98,Employee_98,126807,536,12
99,Employee_99,52185,385,16
100,Employee_100,103704,632,13
101,Employee_101,126779,927,5
102,Employee_102,79099,25,4
103,Employee_103,48571,453,15
104,Employee_104,145512,680,12
105,Employee_105,78044,322,19
106,Employee_106,91214,736,19
107,Employee_107,101228,512,11
108,Employee_108,88984,818,6
109,Employee_109,80774,772,9
110,Employee_110,42568,12,1
111,Employee_111,102592,914,12
112,Employee_112,107563,907,14
113,Employee_113,42695,559,6
114,Employee_114,88190,920,1
115,Employee_115,45258,824,2
116,Employee_116,127538,370,11
117,Employee_117,79504,290,3
118,Employee_118,73159,331,10
119,Employee_119,53986,605,6
120,Employee_120,101858,260,6
121,Employee_121,52666,993,20
122,Employee_122,78660,789,2
123,Employee_123,43561,870,10
124,Employee_124,66854,204,6
125,Employee_125,104505,696,17
126,Employee_126,144488,686,14
127,Employee_127,92251,949,5
128,Employee_128,62662,386,17
129,Employee_129,48392,891,2
130,Employee_130,70535,820,9
131,Employee_131,118603,467,12
132,Employee_132,92256,414,19
